Date : 2025-01-07 22:49:35
Directory : c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app
Total : 57 files,  22794 codes, 21 comments, 559 blanks, all 23374 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     18,961 |          0 |          3 |     18,964 |
| JavaScript |         27 |      2,047 |         16 |        182 |      2,245 |
| SCSS       |         22 |      1,737 |          5 |        362 |      2,104 |
| HTML       |          1 |         21 |          0 |          1 |         22 |
| CSS        |          1 |         17 |          0 |          3 |         20 |
| Markdown   |          1 |         10 |          0 |          8 |         18 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |         57 |     22,794 |         21 |        559 |     23,374 |
| . (Files)                                                                                                     |          4 |     18,946 |          0 |         10 |     18,956 |
| public                                                                                                        |          2 |         46 |          0 |          2 |         48 |
| src                                                                                                           |         51 |      3,802 |         21 |        547 |      4,370 |
| src (Files)                                                                                                   |          8 |        117 |          8 |         24 |        149 |
| src\components                                                                                                |         43 |      3,685 |         13 |        523 |      4,221 |
| src\components\AccountPage                                                                                    |         10 |      1,049 |          3 |        117 |      1,169 |
| src\components\AccountPage (Files)                                                                            |          2 |        573 |          0 |         61 |        634 |
| src\components\AccountPage\AchieveComp                                                                        |          2 |        110 |          0 |         11 |        121 |
| src\components\AccountPage\HistoryComp                                                                        |          2 |        137 |          1 |         16 |        154 |
| src\components\AccountPage\ProjectComp                                                                        |          2 |        114 |          0 |         14 |        128 |
| src\components\AccountPage\SkillComp                                                                          |          2 |        115 |          2 |         15 |        132 |
| src\components\ContactDashBoard                                                                               |         11 |        843 |          1 |        119 |        963 |
| src\components\ContactDashBoard (Files)                                                                       |          1 |         23 |          0 |          4 |         27 |
| src\components\ContactDashBoard\DashBoardContact                                                              |          2 |        195 |          0 |         26 |        221 |
| src\components\ContactDashBoard\DashBoardFAQ                                                                  |          2 |        204 |          0 |         16 |        220 |
| src\components\ContactDashBoard\DashBoardLayout                                                               |          2 |         39 |          0 |          7 |         46 |
| src\components\ContactDashBoard\DashBoardStatistic                                                            |          2 |        284 |          1 |         51 |        336 |
| src\components\ContactDashBoard\sideBarComp                                                                   |          2 |         98 |          0 |         15 |        113 |
| src\components\Footer                                                                                         |          2 |         26 |          0 |          5 |         31 |
| src\components\Home                                                                                           |          4 |        534 |          6 |        102 |        642 |
| src\components\Home (Files)                                                                                   |          2 |        254 |          6 |         53 |        313 |
| src\components\Home\HomeCard                                                                                  |          2 |        280 |          0 |         49 |        329 |
| src\components\Interior                                                                                       |          6 |        723 |          3 |        105 |        831 |
| src\components\Interior (Files)                                                                               |          2 |        391 |          3 |         50 |        444 |
| src\components\Interior\AddPostBar                                                                            |          2 |        216 |          0 |         32 |        248 |
| src\components\Interior\JobPost                                                                               |          2 |        116 |          0 |         23 |        139 |
| src\components\Layout                                                                                         |          2 |         30 |          0 |          7 |         37 |
| src\components\MenuInterior                                                                                   |          2 |         59 |          0 |          9 |         68 |
| src\components\MenubarLanding                                                                                 |          2 |         54 |          0 |          9 |         63 |
| src\components\SignIn                                                                                         |          2 |        103 |          0 |         18 |        121 |
| src\components\SignUp                                                                                         |          2 |        264 |          0 |         32 |        296 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\.prettierrc                                                   | JSON       |          6 |          0 |          0 |          6 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\README.md                                                     | Markdown   |         10 |          0 |          8 |         18 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\package-lock.json                                             | JSON       |     18,868 |          0 |          1 |     18,869 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\package.json                                                  | JSON       |         62 |          0 |          1 |         63 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\public\index.html                                             | HTML       |         21 |          0 |          1 |         22 |
| c:\Users\khang\Desktop\FBLA\2024-25\SLC\slc-app\public\manifest.json                                          | JSON       |         25 |          0 |          1 |         26 |
